ts_code,period,dcf_equity_value_ttm,dcf_equity_value_ttm_growth_r,total_mv,symbol,name,area,industry,market,list_date,list_status
000008.SZ,2020Q4,5066254920.852821,5066254920.852821,706322.0179,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2021Q1,7374353379.70162,7374353379.70162,636802.1342,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2021Q2,6673931182.404657,6673931182.404657,617336.5668,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2021Q3,-3711881787.221659,-3711881787.221659,625678.9529,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2021Q4,-1454928046.0777786,-1454928046.0777786,817553.8317,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2022Q1,4637906043.936506,4637906043.936506,706322.0179,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2022Q2,11777105620.243977,11777105620.243977,695198.8365,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2022Q3,12996803134.94836,12996803134.94836,611774.9761,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2022Q4,8142552841.130138,8142552841.130138,639582.9296,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2023Q1,4490759889.696653,4490759889.696653,643781.5109,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2023Q2,-1329385515.5887916,-1329385515.5887916,641065.1332,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2023Q3,,,662796.1547,000008,神州高铁,北京,运输设备,主板,19920507,L
000008.SZ,2023Q4,,,641065.1332,000008,神州高铁,北京,运输设备,主板,19920507,L
